M,cuBLAS (GFlops),Triton (GFlops)
251.000000,132657.550182,140594.320906
252.000000,133186.066318,140712.854009
253.000000,133714.582454,141714.594380
254.000000,134243.098590,141669.310927
255.000000,134771.614726,142834.867853
256.000000,135300.130862,143395.004590
257.000000,95464.389601,79847.118521
258.000000,95527.053850,80324.407734
259.000000,96168.971681,80065.207921
