M,cuBLAS (GB/s),Triton (GB/s)
251.000000,635.297952,648.533350
252.000000,632.715420,648.533350
253.000000,632.715420,648.533350
254.000000,632.715420,648.533350
255.000000,632.715420,645.926096
256.000000,632.273707,648.533350
257.000000,402.285709,397.845487
258.000000,402.299743,397.845487
259.000000,402.285709,397.845487
