M,cuBLAS (GFlops),Triton (GFlops)
251.000000,133736.059321,137079.470130
252.000000,134268.872307,137214.666837
253.000000,134758.894042,137598.405753
254.000000,135334.498277,138142.272970
255.000000,135867.311263,138830.155966
256.000000,135847.908867,139810.136865
257.000000,75190.856112,74360.938279
258.000000,75483.427536,74650.280451
259.000000,75775.998961,74939.622623
