M,cuBLAS (runtime(ms)),Triton (runtime(ms))
251.000000,0.251904,0.546816
252.000000,0.252928,0.548864
253.000000,0.252928,0.549600
254.000000,0.253024,0.550720
255.000000,0.253952,0.550976
256.000000,0.253952,0.552960
257.000000,0.360672,0.647168
258.000000,0.361472,0.648224
259.000000,0.362496,0.647936
