M,cuBLAS (runtime(ms)),Triton (runtime(ms))
251.000000,0.252928,0.578560
252.000000,0.252928,0.577536
253.000000,0.252928,0.579584
254.000000,0.252928,0.579584
255.000000,0.253952,0.581632
256.000000,0.253952,0.256000
257.000000,0.362496,0.366592
258.000000,0.363520,0.368640
259.000000,0.363520,0.371648
